"NUTS_ID","date","var","values"
"LT011","2020-02-24","confirmed",0
"LT011","2020-02-25","confirmed",0
"LT011","2020-02-26","confirmed",0
"LT011","2020-02-27","confirmed",0
"LT011","2020-02-28","confirmed",0
"LT011","2020-02-29","confirmed",0
"LT011","2020-03-01","confirmed",0
"LT011","2020-03-02","confirmed",0
"LT011","2020-03-03","confirmed",0
"LT011","2020-03-04","confirmed",0
"LT011","2020-03-05","confirmed",0
"LT011","2020-03-06","confirmed",0
"LT011","2020-03-07","confirmed",0
"LT011","2020-03-08","confirmed",0
"LT011","2020-03-09","confirmed",0
"LT011","2020-03-10","confirmed",0
"LT011","2020-03-11","confirmed",0
"LT011","2020-03-12","confirmed",0
"LT011","2020-03-13","confirmed",1
"LT011","2020-03-14","confirmed",0
"LT011","2020-03-15","confirmed",3
"LT011","2020-03-16","confirmed",4
"LT011","2020-03-17","confirmed",5
"LT011","2020-03-18","confirmed",3
"LT011","2020-03-19","confirmed",8
"LT011","2020-03-20","confirmed",11
"LT011","2020-03-21","confirmed",14
"LT011","2020-03-22","confirmed",28
"LT011","2020-03-23","confirmed",22
"LT011","2020-03-24","confirmed",11
"LT011","2020-03-25","confirmed",53
"LT011","2020-03-26","confirmed",53
"LT011","2020-03-27","confirmed",36
"LT011","2020-03-28","confirmed",50
"LT011","2020-03-29","confirmed",47
"LT011","2020-03-30","confirmed",49
"LT011","2020-03-31","confirmed",48
"LT011","2020-04-01","confirmed",68
"LT011","2020-04-02","confirmed",47
"LT011","2020-04-03","confirmed",76
"LT011","2020-04-04","confirmed",39
"LT011","2020-04-05","confirmed",32
"LT011","2020-04-06","confirmed",1
"LT011","2020-04-07","confirmed",0
"LT011","2020-04-08","confirmed",0
"LT012","2020-02-24","confirmed",0
"LT012","2020-02-25","confirmed",0
"LT012","2020-02-26","confirmed",0
"LT012","2020-02-27","confirmed",0
"LT012","2020-02-28","confirmed",0
"LT012","2020-02-29","confirmed",0
"LT012","2020-03-01","confirmed",0
"LT012","2020-03-02","confirmed",0
"LT012","2020-03-03","confirmed",0
"LT012","2020-03-04","confirmed",0
"LT012","2020-03-05","confirmed",0
"LT012","2020-03-06","confirmed",0
"LT012","2020-03-07","confirmed",0
"LT012","2020-03-08","confirmed",0
"LT012","2020-03-09","confirmed",0
"LT012","2020-03-10","confirmed",0
"LT012","2020-03-11","confirmed",0
"LT012","2020-03-12","confirmed",0
"LT012","2020-03-13","confirmed",0
"LT012","2020-03-14","confirmed",0
"LT012","2020-03-15","confirmed",0
"LT012","2020-03-16","confirmed",0
"LT012","2020-03-17","confirmed",0
"LT012","2020-03-18","confirmed",0
"LT012","2020-03-19","confirmed",0
"LT012","2020-03-20","confirmed",0
"LT012","2020-03-21","confirmed",0
"LT012","2020-03-22","confirmed",0
"LT012","2020-03-23","confirmed",0
"LT012","2020-03-24","confirmed",0
"LT012","2020-03-25","confirmed",0
"LT012","2020-03-26","confirmed",0
"LT012","2020-03-27","confirmed",0
"LT012","2020-03-28","confirmed",0
"LT012","2020-03-29","confirmed",0
"LT012","2020-03-30","confirmed",0
"LT012","2020-03-31","confirmed",0
"LT012","2020-04-01","confirmed",0
"LT012","2020-04-02","confirmed",0
"LT012","2020-04-03","confirmed",0
"LT012","2020-04-04","confirmed",0
"LT012","2020-04-05","confirmed",0
"LT012","2020-04-06","confirmed",1
"LT012","2020-04-07","confirmed",0
"LT012","2020-04-08","confirmed",0
"LT013","2020-02-24","confirmed",0
"LT013","2020-02-25","confirmed",0
"LT013","2020-02-26","confirmed",0
"LT013","2020-02-27","confirmed",0
"LT013","2020-02-28","confirmed",0
"LT013","2020-02-29","confirmed",0
"LT013","2020-03-01","confirmed",0
"LT013","2020-03-02","confirmed",0
"LT013","2020-03-03","confirmed",0
"LT013","2020-03-04","confirmed",0
"LT013","2020-03-05","confirmed",0
"LT013","2020-03-06","confirmed",0
"LT013","2020-03-07","confirmed",0
"LT013","2020-03-08","confirmed",0
"LT013","2020-03-09","confirmed",0
"LT013","2020-03-10","confirmed",0
"LT013","2020-03-11","confirmed",0
"LT013","2020-03-12","confirmed",0
"LT013","2020-03-13","confirmed",0
"LT013","2020-03-14","confirmed",0
"LT013","2020-03-15","confirmed",0
"LT013","2020-03-16","confirmed",0
"LT013","2020-03-17","confirmed",0
"LT013","2020-03-18","confirmed",0
"LT013","2020-03-19","confirmed",0
"LT013","2020-03-20","confirmed",0
"LT013","2020-03-21","confirmed",0
"LT013","2020-03-22","confirmed",0
"LT013","2020-03-23","confirmed",0
"LT013","2020-03-24","confirmed",0
"LT013","2020-03-25","confirmed",0
"LT013","2020-03-26","confirmed",0
"LT013","2020-03-27","confirmed",0
"LT013","2020-03-28","confirmed",0
"LT013","2020-03-29","confirmed",0
"LT013","2020-03-30","confirmed",0
"LT013","2020-03-31","confirmed",0
"LT013","2020-04-01","confirmed",0
"LT013","2020-04-02","confirmed",0
"LT013","2020-04-03","confirmed",0
"LT013","2020-04-04","confirmed",0
"LT013","2020-04-05","confirmed",0
"LT013","2020-04-06","confirmed",1
"LT013","2020-04-07","confirmed",0
"LT013","2020-04-08","confirmed",0
"LT014","2020-02-24","confirmed",0
"LT014","2020-02-25","confirmed",0
"LT014","2020-02-26","confirmed",0
"LT014","2020-02-27","confirmed",0
"LT014","2020-02-28","confirmed",0
"LT014","2020-02-29","confirmed",0
"LT014","2020-03-01","confirmed",0
"LT014","2020-03-02","confirmed",0
"LT014","2020-03-03","confirmed",0
"LT014","2020-03-04","confirmed",0
"LT014","2020-03-05","confirmed",0
"LT014","2020-03-06","confirmed",0
"LT014","2020-03-07","confirmed",0
"LT014","2020-03-08","confirmed",0
"LT014","2020-03-09","confirmed",0
"LT014","2020-03-10","confirmed",0
"LT014","2020-03-11","confirmed",0
"LT014","2020-03-12","confirmed",0
"LT014","2020-03-13","confirmed",0
"LT014","2020-03-14","confirmed",0
"LT014","2020-03-15","confirmed",0
"LT014","2020-03-16","confirmed",0
"LT014","2020-03-17","confirmed",0
"LT014","2020-03-18","confirmed",0
"LT014","2020-03-19","confirmed",0
"LT014","2020-03-20","confirmed",0
"LT014","2020-03-21","confirmed",0
"LT014","2020-03-22","confirmed",0
"LT014","2020-03-23","confirmed",0
"LT014","2020-03-24","confirmed",0
"LT014","2020-03-25","confirmed",0
"LT014","2020-03-26","confirmed",0
"LT014","2020-03-27","confirmed",0
"LT014","2020-03-28","confirmed",0
"LT014","2020-03-29","confirmed",0
"LT014","2020-03-30","confirmed",0
"LT014","2020-03-31","confirmed",0
"LT014","2020-04-01","confirmed",0
"LT014","2020-04-02","confirmed",0
"LT014","2020-04-03","confirmed",0
"LT014","2020-04-04","confirmed",0
"LT014","2020-04-05","confirmed",0
"LT014","2020-04-06","confirmed",1
"LT014","2020-04-07","confirmed",0
"LT014","2020-04-08","confirmed",0
"LT015","2020-02-24","confirmed",0
"LT015","2020-02-25","confirmed",0
"LT015","2020-02-26","confirmed",0
"LT015","2020-02-27","confirmed",0
"LT015","2020-02-28","confirmed",0
"LT015","2020-02-29","confirmed",0
"LT015","2020-03-01","confirmed",0
"LT015","2020-03-02","confirmed",0
"LT015","2020-03-03","confirmed",0
"LT015","2020-03-04","confirmed",0
"LT015","2020-03-05","confirmed",0
"LT015","2020-03-06","confirmed",0
"LT015","2020-03-07","confirmed",0
"LT015","2020-03-08","confirmed",0
"LT015","2020-03-09","confirmed",0
"LT015","2020-03-10","confirmed",0
"LT015","2020-03-11","confirmed",0
"LT015","2020-03-12","confirmed",0
"LT015","2020-03-13","confirmed",0
"LT015","2020-03-14","confirmed",0
"LT015","2020-03-15","confirmed",0
"LT015","2020-03-16","confirmed",0
"LT015","2020-03-17","confirmed",0
"LT015","2020-03-18","confirmed",0
"LT015","2020-03-19","confirmed",0
"LT015","2020-03-20","confirmed",0
"LT015","2020-03-21","confirmed",0
"LT015","2020-03-22","confirmed",0
